index	name	myelin
1	HIP-rh	n/a
2	AMY-rh	n/a
3	pTHA-rh	n/a
4	aTHA-rh	n/a
5	NAc-rh	n/a
6	GP-rh	n/a
7	PUT-rh	n/a
8	CAU-rh	n/a
9	HIP-lh	n/a
10	AMY-lh	n/a
11	pTHA-lh	n/a
12	aTHA-lh	n/a
13	NAc-lh	n/a
14	GP-lh	n/a
15	PUT-lh	n/a
16	CAU-lh	n/a
17	7Networks_LH_Vis_1	1.33039
18	7Networks_LH_Vis_2	1.21049
19	7Networks_LH_Vis_3	1.39762
20	7Networks_LH_Vis_4	1.36669
21	7Networks_LH_Vis_5	1.44218
22	7Networks_LH_Vis_6	1.41864
23	7Networks_LH_Vis_7	1.46875
24	7Networks_LH_Vis_8	1.34394
25	7Networks_LH_Vis_9	1.48058
26	7Networks_LH_Vis_10	1.49015
27	7Networks_LH_Vis_11	1.51892
28	7Networks_LH_Vis_12	1.50961
29	7Networks_LH_Vis_13	1.59076
30	7Networks_LH_Vis_14	1.42297
31	7Networks_LH_Vis_15	1.52078
32	7Networks_LH_Vis_16	1.46109
33	7Networks_LH_Vis_17	1.44945
34	7Networks_LH_Vis_18	1.54269
35	7Networks_LH_Vis_19	1.50144
36	7Networks_LH_Vis_20	1.51258
37	7Networks_LH_Vis_21	1.58202
38	7Networks_LH_Vis_22	1.48684
39	7Networks_LH_Vis_23	1.35676
40	7Networks_LH_Vis_24	1.49558
41	7Networks_LH_Vis_25	1.47908
42	7Networks_LH_Vis_26	1.49815
43	7Networks_LH_Vis_27	1.45749
44	7Networks_LH_Vis_28	1.31092
45	7Networks_LH_Vis_29	1.48086
46	7Networks_LH_Vis_30	1.42596
47	7Networks_LH_Vis_31	1.37188
48	7Networks_LH_SomMot_1	1.46584
49	7Networks_LH_SomMot_2	1.53469
50	7Networks_LH_SomMot_3	1.45719
51	7Networks_LH_SomMot_4	1.25968
52	7Networks_LH_SomMot_5	1.45678
53	7Networks_LH_SomMot_6	1.36504
54	7Networks_LH_SomMot_7	1.53376
55	7Networks_LH_SomMot_8	1.3436
56	7Networks_LH_SomMot_9	1.31031
57	7Networks_LH_SomMot_10	1.36721
58	7Networks_LH_SomMot_11	1.28285
59	7Networks_LH_SomMot_12	1.46951
60	7Networks_LH_SomMot_13	1.35339
61	7Networks_LH_SomMot_14	1.56922
62	7Networks_LH_SomMot_15	1.34383
63	7Networks_LH_SomMot_16	1.50623
