index	name	myelin
1	HIP-rh	n/a
2	AMY-rh	n/a
3	pTHA-rh	n/a
4	aTHA-rh	n/a
5	NAc-rh	n/a
6	GP-rh	n/a
7	PUT-rh	n/a
8	CAU-rh	n/a
9	HIP-lh	n/a
10	AMY-lh	n/a
11	pTHA-lh	n/a
12	aTHA-lh	n/a
13	NAc-lh	n/a
14	GP-lh	n/a
15	PUT-lh	n/a
16	CAU-lh	n/a
17	7Networks_LH_Vis_1	1.37177
18	7Networks_LH_Vis_2	1.4479
19	7Networks_LH_Vis_3	1.34317
20	7Networks_LH_Vis_4	1.50405
21	7Networks_LH_Vis_5	1.49291
22	7Networks_LH_Vis_6	1.53726
23	7Networks_LH_Vis_7	1.5268
24	7Networks_LH_Vis_8	1.42332
25	7Networks_LH_Vis_9	1.50026
26	7Networks_LH_Vis_10	1.53
27	7Networks_LH_Vis_11	1.36978
28	7Networks_LH_Vis_12	1.49499
29	7Networks_LH_Vis_13	1.46231
30	7Networks_LH_Vis_14	1.45917
31	7Networks_LH_SomMot_1	1.39939
32	7Networks_LH_SomMot_2	1.52996
33	7Networks_LH_SomMot_3	1.40511
34	7Networks_LH_SomMot_4	1.30491
35	7Networks_LH_SomMot_5	1.33941
36	7Networks_LH_SomMot_6	1.48587
37	7Networks_LH_SomMot_7	1.50891
38	7Networks_LH_SomMot_8	1.33739
39	7Networks_LH_SomMot_9	1.42698
40	7Networks_LH_SomMot_10	1.5692
41	7Networks_LH_SomMot_11	1.34821
42	7Networks_LH_SomMot_12	1.6334
43	7Networks_LH_SomMot_13	1.43676
44	7Networks_LH_SomMot_14	1.34743
45	7Networks_LH_SomMot_15	1.50087
46	7Networks_LH_SomMot_16	1.55506
47	7Networks_LH_DorsAttn_Post_1	1.28162
48	7Networks_LH_DorsAttn_Post_2	1.24392
49	7Networks_LH_DorsAttn_Post_3	1.36053
50	7Networks_LH_DorsAttn_Post_4	1.3037
51	7Networks_LH_DorsAttn_Post_5	1.34551
52	7Networks_LH_DorsAttn_Post_6	1.36778
53	7Networks_LH_DorsAttn_Post_7	1.32508
54	7Networks_LH_DorsAttn_Post_8	1.39477
55	7Networks_LH_DorsAttn_Post_9	1.24881
56	7Networks_LH_DorsAttn_Post_10	1.28063
57	7Networks_LH_DorsAttn_FEF_1	1.35183
58	7Networks_LH_DorsAttn_FEF_2	1.26148
59	7Networks_LH_DorsAttn_PrCv_1	1.30779
