index	name	myelin
60	7Networks_LH_SalVentAttn_ParOper_1	1.31789
61	7Networks_LH_SalVentAttn_ParOper_2	1.26162
62	7Networks_LH_SalVentAttn_ParOper_3	1.22366
63	7Networks_LH_SalVentAttn_FrOperIns_1	1.18068
64	7Networks_LH_SalVentAttn_FrOperIns_2	1.22959
65	7Networks_LH_SalVentAttn_FrOperIns_3	1.19638
66	7Networks_LH_SalVentAttn_FrOperIns_4	1.24207
67	7Networks_LH_SalVentAttn_PFCl_1	1.20907
68	7Networks_LH_SalVentAttn_Med_1	1.21685
69	7Networks_LH_SalVentAttn_Med_2	1.26492
70	7Networks_LH_SalVentAttn_Med_3	1.29385
71	7Networks_LH_Limbic_OFC_1	1.27009
72	7Networks_LH_Limbic_OFC_2	1.20647
73	7Networks_LH_Limbic_TempPole_1	1.1795
74	7Networks_LH_Limbic_TempPole_2	1.19569
75	7Networks_LH_Limbic_TempPole_3	1.08959
76	7Networks_LH_Limbic_TempPole_4	1.14176
77	7Networks_LH_Cont_Par_1	1.24074
78	7Networks_LH_Cont_Par_2	1.34811
79	7Networks_LH_Cont_Par_3	1.28913
80	7Networks_LH_Cont_Temp_1	1.21869
81	7Networks_LH_Cont_OFC_1	1.24322
82	7Networks_LH_Cont_PFCl_1	1.21392
83	7Networks_LH_Cont_PFCl_2	1.23696
84	7Networks_LH_Cont_PFCl_3	1.24515
85	7Networks_LH_Cont_PFCl_4	1.32872
86	7Networks_LH_Cont_PFCl_5	1.32528
87	7Networks_LH_Cont_pCun_1	1.38758
88	7Networks_LH_Cont_Cing_1	1.73458
89	7Networks_LH_Cont_Cing_2	1.2399
90	7Networks_LH_Default_Temp_1	1.11444
91	7Networks_LH_Default_Temp_2	1.22892
92	7Networks_LH_Default_Temp_3	1.23093
93	7Networks_LH_Default_Temp_4	1.28104
94	7Networks_LH_Default_Temp_5	1.33052
95	7Networks_LH_Default_Par_1	1.32682
96	7Networks_LH_Default_Par_2	1.2662
97	7Networks_LH_Default_Par_3	1.2381
98	7Networks_LH_Default_Par_4	1.26388
99	7Networks_LH_Default_PFC_1	1.1927
100	7Networks_LH_Default_PFC_2	1.17022
101	7Networks_LH_Default_PFC_3	1.26225
102	7Networks_LH_Default_PFC_4	1.19594
103	7Networks_LH_Default_PFC_5	1.29069
104	7Networks_LH_Default_PFC_6	1.15905
105	7Networks_LH_Default_PFC_7	1.16916
106	7Networks_LH_Default_PFC_8	1.16232
107	7Networks_LH_Default_PFC_9	1.18113
108	7Networks_LH_Default_PFC_10	1.21694
109	7Networks_LH_Default_PFC_11	1.25731
110	7Networks_LH_Default_PFC_12	1.23938
111	7Networks_LH_Default_PFC_13	1.2069
112	7Networks_LH_Default_pCunPCC_1	1.44098
113	7Networks_LH_Default_pCunPCC_2	1.38121
114	7Networks_LH_Default_pCunPCC_3	1.31787
115	7Networks_LH_Default_pCunPCC_4	1.30492
116	7Networks_LH_Default_PHC_1	1.30829
117	7Networks_RH_Vis_1	1.30305
118	7Networks_RH_Vis_2	1.31902
119	7Networks_RH_Vis_3	1.45379
120	7Networks_RH_Vis_4	1.51888
121	7Networks_RH_Vis_5	1.41441
122	7Networks_RH_Vis_6	1.49486
123	7Networks_RH_Vis_7	1.49668
124	7Networks_RH_Vis_8	1.48083
125	7Networks_RH_Vis_9	1.57928
126	7Networks_RH_Vis_10	1.52002
127	7Networks_RH_Vis_11	1.37661
128	7Networks_RH_Vis_12	1.48903
129	7Networks_RH_Vis_13	1.50255
130	7Networks_RH_Vis_14	1.4284
131	7Networks_RH_Vis_15	1.38112
132	7Networks_RH_SomMot_1	1.54725
133	7Networks_RH_SomMot_2	1.38503
134	7Networks_RH_SomMot_3	1.36584
135	7Networks_RH_SomMot_4	1.50058
136	7Networks_RH_SomMot_5	1.28231
137	7Networks_RH_SomMot_6	1.28692
138	7Networks_RH_SomMot_7	1.46879
139	7Networks_RH_SomMot_8	1.26554
140	7Networks_RH_SomMot_9	1.39391
141	7Networks_RH_SomMot_10	1.54032
142	7Networks_RH_SomMot_11	1.38436
143	7Networks_RH_SomMot_12	1.57587
144	7Networks_RH_SomMot_13	1.35603
145	7Networks_RH_SomMot_14	1.63383
146	7Networks_RH_SomMot_15	1.43923
147	7Networks_RH_SomMot_16	1.34428
148	7Networks_RH_SomMot_17	1.38701
149	7Networks_RH_SomMot_18	1.55418
150	7Networks_RH_SomMot_19	1.567
151	7Networks_RH_DorsAttn_Post_1	1.3164
152	7Networks_RH_DorsAttn_Post_2	1.39416
153	7Networks_RH_DorsAttn_Post_3	1.25294
154	7Networks_RH_DorsAttn_Post_4	1.3082
155	7Networks_RH_DorsAttn_Post_5	1.33384
156	7Networks_RH_DorsAttn_Post_6	1.31508
157	7Networks_RH_DorsAttn_Post_7	1.36616
158	7Networks_RH_DorsAttn_Post_8	1.36642
159	7Networks_RH_DorsAttn_Post_9	1.2448
160	7Networks_RH_DorsAttn_Post_10	1.27836
161	7Networks_RH_DorsAttn_FEF_1	1.35604
162	7Networks_RH_DorsAttn_FEF_2	1.26586
163	7Networks_RH_DorsAttn_PrCv_1	1.26674
164	7Networks_RH_SalVentAttn_TempOccPar_1	1.34486
165	7Networks_RH_SalVentAttn_TempOccPar_2	1.33623
166	7Networks_RH_SalVentAttn_TempOccPar_3	1.27276
167	7Networks_RH_SalVentAttn_PrC_1	1.29947
168	7Networks_RH_SalVentAttn_FrOperIns_1	1.13647
169	7Networks_RH_SalVentAttn_FrOperIns_2	1.23918
170	7Networks_RH_SalVentAttn_FrOperIns_3	1.25428
171	7Networks_RH_SalVentAttn_FrOperIns_4	1.17883
172	7Networks_RH_SalVentAttn_Med_1	1.20363
173	7Networks_RH_SalVentAttn_Med_2	1.2839
174	7Networks_RH_SalVentAttn_Med_3	1.26502
175	7Networks_RH_Limbic_OFC_1	1.19831
176	7Networks_RH_Limbic_OFC_2	1.28682
177	7Networks_RH_Limbic_OFC_3	1.20401
178	7Networks_RH_Limbic_TempPole_1	1.12081
179	7Networks_RH_Limbic_TempPole_2	1.16546
180	7Networks_RH_Limbic_TempPole_3	1.21857
181	7Networks_RH_Cont_Par_1	1.24219
182	7Networks_RH_Cont_Par_2	1.29185
183	7Networks_RH_Cont_Par_3	1.35535
184	7Networks_RH_Cont_Temp_1	1.23792
185	7Networks_RH_Cont_PFCv_1	1.21558
186	7Networks_RH_Cont_PFCl_1	1.21983
187	7Networks_RH_Cont_PFCl_2	1.22814
188	7Networks_RH_Cont_PFCl_3	1.22762
189	7Networks_RH_Cont_PFCl_4	1.32619
190	7Networks_RH_Cont_PFCl_5	1.20464
191	7Networks_RH_Cont_PFCl_6	1.21825
192	7Networks_RH_Cont_PFCl_7	1.27973
193	7Networks_RH_Cont_pCun_1	1.40934
194	7Networks_RH_Cont_Cing_1	1.65595
195	7Networks_RH_Cont_Cing_2	1.26989
196	7Networks_RH_Cont_PFCmp_1	1.16927
197	7Networks_RH_Cont_PFCmp_2	1.20816
198	7Networks_RH_Default_Par_1	1.2697
199	7Networks_RH_Default_Par_2	1.28282
200	7Networks_RH_Default_Par_3	1.27945
201	7Networks_RH_Default_Temp_1	1.11689
202	7Networks_RH_Default_Temp_2	1.18447
203	7Networks_RH_Default_Temp_3	1.25503
204	7Networks_RH_Default_Temp_4	1.25061
205	7Networks_RH_Default_Temp_5	1.37575
206	7Networks_RH_Default_PFCv_1	1.25435
207	7Networks_RH_Default_PFCdPFCm_1	1.20416
208	7Networks_RH_Default_PFCdPFCm_2	1.14638
209	7Networks_RH_Default_PFCdPFCm_3	1.13366
210	7Networks_RH_Default_PFCdPFCm_4	1.17215
211	7Networks_RH_Default_PFCdPFCm_5	1.1848
212	7Networks_RH_Default_PFCdPFCm_6	1.23571
213	7Networks_RH_Default_PFCdPFCm_7	1.24077
214	7Networks_RH_Default_pCunPCC_1	1.45205
215	7Networks_RH_Default_pCunPCC_2	1.3731
216	7Networks_RH_Default_pCunPCC_3	1.29307
